rom,bankswitch
1942 (HB),F8
Acid Drop,F4
Amidar,FE
Amoeba Jump (HB),FE
Aquaventure,F8
Artillery Duel,F4
Asteroids,F8
Atlantis,FE
Barnstorming,FE
Basketball,FE
Battlezone,F8
Beamrider,F8
Boom (HB),F4
Boxing,F8
Centipede,F8
Chaotic Grill (HB),F4
Checkers,FE
Chopper Command,FE
Commando,F6
Congo Bongo,F8
Cosmic Ark,FE
Cosmic Commuter,FE
Crackpots,FE
Crash Dive,FE
Crypts of Chaos,FE
Crystal Castles,F6
Dark Caverns,FE
Dark Chambers,F6
Deadly Duck,FE
Decathlon,F8
Defender,FE
Defendr 2,F8
Demon Attack,FE
Dig Dug,F6
DK VCS (HB),F4
Dolphin,FE
Double Dragon,F6
Double Dunk,F6
Dragonfire,FE
Dragonstomper,F4?
Dragster,FE
E.T. the Extra-Terrestrial,F8
Edtris (HB),FE
Enduro,FE
Fathom,F8
Fire Fighter,FE
Fishing Derby,UA
Forest Moon Attack (HB),F4
Freeway,FE
Frogger,FE
Frogger 2,F8
Front Line,F8
Frostbite,FE
Galaxian,F8
Game of the Bear (HB),F4
Gauntlet,FE
Ghostbusters,F8
Go Fish (HB),F8
Golf,UA?
Grand Prix,FE
Hero,F8
Halo 2600 (HB),FE
Home Run,UA?
Ice Hockey,FE
Joust,F8
Jr. Pac-Man,F6
Jungle Hunt,F8
Juno First (HB),F4
Kaboom,UA
Keystone Kapers,FE
Kung Fu Combat 2 (HB),F4
Kung-Fu Master,F8
Ladybug (HB),F6
Lander (HB),UA
Laser Blast,F6
Laser Gates,FE
Mappy (HB),DPC+?
Mario Bros,F8
Mega Man (HB),F4
Megamania,FE
Millipede,F6
Moon Patrol,F8
Moonsweeper,F8
Mountain King,F6?
Ms. Pac-Man,F8
Ocean City Defender,FE
Oink,FE
Oozy The Goo (HB),F4
Pac-Man,FE
Pac-Man 4k (HB),FE
Pac-Man 8k (HB),F8
Pete Rose Baseball,F6
Phoenix,F8
Pitfall,F4
Pizza Boy (HB),F6
Plaque Attack,FE
Pole Position,F8
Popeye,F8
Pressure Cooker,F8
Princess Rescue (HB),F4
Private Eye,F4
Qbert,FE
Qbert Arcade,F8
Raiders of the Lost Ark,F8
Rampage,F6
RealSports Baseball,F8
RealSports Basketball,F8
RealSports Football,F8
RealSports Soccer,F8
RealSports Tennis,F8
RealSports Volleyball,FE
Riddle of the Sphinx,FE
River Raid,FE
River Raid 2,F6
Robot Tank,F8
RubyQ (HB),F4
Save Mary (HB),F6
Scramble Demo (HB),F4?
Seaquest,FE
Secret Quest,F6
Skate Boardin,F8
Skeleton+ (HB),FE
Skiing,FE
Sky Jinks,UA
Solar Fox,F8
Solaris,F6
Space Cavern,FE
Space Invaders,FE
Space Jockey,FE
Space Shuttle,F8
Spider Fighter,FE
Spiderman,FE
Spy Hunter,F8
Stampede,F8?
Star Master,FE
Star Wars Empire,FE
Strke Zone (HB),F4
Super Cobra,F8
Super Cobra Arcade Demo (HB),F4?
Tennis,FE
This Planet Sucks (HB),FE
Time Warp,FE?
Tomcat,F6
Vanguard,F8
Warlords,FE
Winter Games,F6
Zaxxon,F8
